,Entertainer,Year of Breakthrough,Breakthrough Name,Year of First Oscar,Gender,Birth Year,Year of Last work,Year of Death,age 
1,Angelina Jolie,1999,"Girl, Interrupted",1999,F,1975,2016,1988,13
2,Aretha Franklin,1967,I Never Loved a Man (The Way I Love You),1968,F,1942,2014,1988,46
3,Bette Davis,1934,Of Human Bondage,1935,F,1908,1989,1989,81
4,Betty White,1952,Life with Elilzabeth,1976,F,1922,2016,1988,66
5,Bing Crosby,1931,Several Songs,1962,M,1903,1974,1977,74
6,Bob Hope,1938,The Big Broadcast of 1938,1940,M,1903,1972,2003,100
7,Carol Burnett,1959,The Garry Moore Show,1962,F,1933,2016,1988,55
8,Carole Lombard,1934,Twentieth Century,1976,F,1908,1942,1942,34
9,Carrie Fisher,1977,Star Wars,1976,F,1956,2016,2016,60
10,Cary Grant,1933,"She Done Him Wrong, I'm No Angel",1970,M,1904,1966,1986,82
11,Charlie Chaplin,1915,The Tramp,1929,M,1889,1967,1977,88
12,Clara Bow,1926,Mantrap,1976,F,1905,1933,1965,60
13,Clark Gable,1934,It Happened One Night,1934,M,1901,1960,1960,59
14,David Letterman,1982,Late Night with David Letterman,1981,M,1947,2015,1988,41
15,Debbie Reynolds,1952,Singin' in the Rain,1976,F,1932,2006,2016,84
16,Denzel Washington,1989,Glory,1989,M,1954,2016,1988,34
17,Dick Van Dyke,1961,"Bye Bye Birdie, The Dick Van Dyke Show",1964,M,1925,2015,1988,63
18,Donald Sutherland,1967,The Dirty Dozen,1995,M,1935,2016,1988,53
19,Dustin Hoffman,1967,The Graduate,1980,M,1937,2016,1988,51
20,Ed Sullivan,1948,Toast of the Town,1956,M,1901,1973,1974,73
21,Eddie Murphy,1980,Saturday Night Live,2001,M,1961,2016,1988,27
22,Elton John,1972,Honky Chateau,1987,M,1947,2016,1988,41
23,Elvis Presley,1956,Heartbreak Hotel,1959,M,1935,1977,1977,42
24,Frank Sinatra,1940,I'll Never Smile Again,1946,M,1915,1980,1998,83
25,Gene Hackman,1967,Bonnie and Clyde,1971,M,1930,2004,1988,58
26,George Michael,1984,Wake Me Up Before You Go-Go,1988,M,1963,2004,2016,53
27,Gregory Peck,1944,The Keys of the Kingdom,1962,M,1916,1991,2003,87
28,Greta Garbo,1930,Anna Christie,1954,F,1905,1941,1990,85
29,Humphrey Bogart,1936,The Petrified Forest,1951,M,1899,1956,1957,58
30,James Dean,1953,East of Eden,1955,M,1931,1955,1955,24
31,Jay Leno,1992,The Tonight Show,1995,M,1950,2014,1988,38
32,Jennifer Aniston,1994,Friends,2002,F,1969,2016,1988,19
33,Jerry Seinfeld,1988,Seinfeld,1992,M,1954,2016,1988,34
34,Jimmy Page,1969,Led Zeppelin 2,1999,M,1944,2016,1988,44
35,Jimmy Stewart,1938,You Can't Take it With You,1941,M,1908,1980,1997,89
36,Joan Crawford,1928,Our Dancing Daughters,1946,F,1904,1970,1977,73
37,John Lennon,1963,I Want to Hold Your Hand,1965,M,1940,1980,1980,40
38,John Wayne,1939,Stagecoach,1970,M,1907,1976,1979,72
39,Johnny Carson,1962,The Tonight Show Starring Johnny Carson,1976,M,1925,1992,2005,80
40,Johnny Depp,1987,21 Jump Street,1976,M,1963,2016,1988,25
41,Justin Timberlake,2000,No Strings Attached,2004,M,1981,2016,1988,7
42,Katherine Hepburn,1933,Morning Glory,1933,F,1907,1994,2003,96
44,Kirk Douglas,1949,Champion,1996,M,1916,2004,1988,72
45,Lady Gaga,2008,The Fame,2010,F,1986,2016,1988,2
46,Leonard Bernstein,1957,West Side Story,1962,M,1918,1989,1990,72
47,Leonardo DiCaprio,1997,Titanic,2016,M,1974,2016,1988,14
48,Louis Armstrong,1964,"Hello, Dolly!",1993,M,1901,1970,1971,70
49,Madonna,1984,Like A Virgin,1992,F,1958,2015,1988,30
50,Mariah Carey,1990,Mariah Carey,1991,F,1969,2014,1988,19
51,Marlon Brando,1951,Streetcar Named Desire,1953,M,1924,2001,2004,80
52,Mary Tyler Moore,1961,The Dick Van Dyke Show,1964,F,1936,2013,1988,52
53,Meryl Streep,1978,The Deer Hunter,1980,F,1949,2016,1988,39
54,Mick Jagger,1965,(I Can't Get No) Satisfaction,1987,M,1943,2016,1988,45
55,Morgan Freeman,1989,Driving Miss Daisy and Glory,2005,M,1937,2016,1988,51
56,Oprah Winfrey,1985,The Color Purple,1987,F,1954,2016,1988,34
57,Paul McCartney,1963,I Want to Hold Your Hand,1965,M,1942,2016,1988,46
58,Paul Newman,1958,Cat on a Hot Tin Roof,1986,M,1925,2005,2008,83
59,Peter O'Toole,1962,Lawrence of Arabia,2002,M,1932,2013,2013,81
60,Prince,1979,Prince,1984,M,1958,2016,2016,58
61,Robert Redford,1969,Butch Cassidy and the Sundance Kid,1980,M,1936,2016,1988,52
62,Sidney Poitier,1955,Blackboard Jungle,1964,M,1927,2008,1988,61
63,Sly Stone,1968,Everyday People,2017,M,1943,1971,1988,45
64,Stevie Wonder,1963,Fingertips,1973,M,1950,2005,1988,38
65,Tom Hanks,1984,Splash,1993,M,1956,2016,1988,32
66,Tony Bennett,1951,Because of You,1963,M,1926,2016,1988,62
67,Wayne Newton,1972,"Daddy, Don't You Walk So Fast",1976,M,1942,2016,1988,46
68,Will Smith,1990,The Fresh Prince of Bel-Air,1988,M,1968,2016,1988,20
69,Willie Nelson,1975,Red Headed Stranger,1976,M,1933,2016,1988,55
